Pair 1,Pair 2,Pair 3,Pair 4,Pair 5
26,20,33,-3,-24
-5,-8,1,1,7
-6,-10,28,2,3
14,8,17,3,14
12,7,31,-1,1
22,-4,13,-1,8
11,14,26,-3,4
10,10,30,-1,-17
10,5,25,1,-10
34,61,49,-6,-8
13,8,12,-3,-16
20,-26,30,-7,-12
12,-10,20,-6,-7
9,8,27,-5,-12
11,14,20,-1,4
-16,11,-4,2,8
13,9,24,-1,-13
5,15,11,-7,4
11,14,29,-4,-15
36,21,25,-8,8
60,75,82,-75,75
24,30,17,-4,-8
6,8,-9,-12,-6
-10,37,29,-11,-3
34,19,26,-11,6
7,7,14,-2,-3
30,33,68,-8,-28
9,14,21,-6,-8
12,14,43,-8,0
23,18,42,-7,-7
-16,11,24,1,6
-11,12,-10,-7,12
-12,-7,18,16,-8
6,1,17,2,3
8,13,14,-3,28
20,13,12,-6,-14
-19,-8,13,15,-14
-23,-15,4,-3,6
-1,3,-1,-3,2
83,-77,76,-12,-77
8,7,14,-3,-3
7,12,13,-4,-10
-7,18,27,-2,-12
11,13,19,-9,-3
39,33,25,-3,-11
15,15,21,-7,-18
8,12,25,-10,0
-87,20,7,4,7
-38,11,28,-5,8
11,12,17,0,12
-21,10,16,6,-6
23,25,26,1,-2
-5,-9,20,-3,-3
30,18,14,0,-6