method,node,resolution,mean,median,q1,q3,iqr,lower,upper,tcilower,tciupper
GraphDecoder,Node≤10,640×640,0.986539971,1,1,1,0,1,1,0.979683172,0.99339677
GraphDecoder,Node≤10,960×960,0.990761606,1,1,1,0,1,1,0.985338325,0.996184887
GraphDecoder,Node≤10,1280×1280,0.98101022,1,1,1,0,1,1,0.973380159,0.988640281
GraphDecoder,Node≤20,640×640,0.984694604,1,1,1,0,1,1,0.970431245,0.998957962
GraphDecoder,Node≤20,960×960,0.997446328,1,1,1,0,1,1,0.995474563,0.999418093
GraphDecoder,Node≤20,1280×1280,0.996329744,1,1,1,0,1,1,0.993283103,0.999376385
GraphDecoder,Node≤30,640×640,0.98322612,1,0.978512596,1,0.021487404,0.967768894,1.032231106,0.97697355,0.989478689
GraphDecoder,Node≤30,960×960,0.999018602,1,1,1,0,1,1,0.998445454,0.99959175
GraphDecoder,Node≤30,1280×1280,0.999003884,1,1,1,0,1,1,0.998395578,0.99961219
OGER,Node≤10,640×640,0.627548288,0.621657527,0.538383679,0.699158713,0.160775034,0.380494976,0.862820078,0.607189614,0.647906962
OGER,Node≤10,960×960,0.59831083,0.595031559,0.565407773,0.647393533,0.081985761,0.472052918,0.7180102,0.583557965,0.613063695
OGER,Node≤10,1280×1280,0.597500651,0.609646852,0.555378345,0.653632333,0.098253989,0.462265869,0.757027835,0.581096173,0.613905129
OGER,Node≤20,640×640,0.691263811,0.703254882,0.595648755,0.784013844,0.18836509,0.420707247,0.985802517,0.667118579,0.715409043
OGER,Node≤20,960×960,0.593068674,0.597631454,0.541783767,0.644120511,0.102336744,0.444126339,0.75113657,0.578353661,0.607783687
OGER,Node≤20,1280×1280,0.619277592,0.609023282,0.573695725,0.662472845,0.08877712,0.475857601,0.742188962,0.603297448,0.635257736
OGER,Node≤30,640×640,0.716752915,0.722087573,0.628311519,0.796696726,0.168385207,0.469509763,0.974665383,0.695056463,0.738449366
OGER,Node≤30,960×960,0.588663425,0.588878476,0.54512637,0.632921273,0.087794902,0.457186122,0.720570829,0.572302094,0.605024756
OGER,Node≤30,1280×1280,0.633800089,0.625978346,0.588995622,0.681387185,0.092391562,0.487391003,0.764565689,0.621448213,0.646151966
VividGraph,Node≤10,640×640,0.484056195,0.529034244,0.409222848,0.546217037,0.136994189,0.323542962,0.734525527,0.46135811,0.50675428
VividGraph,Node≤10,960×960,0.49715842,0.529143859,0.447995654,0.603033893,0.155038239,0.2965865,0.761701217,0.476322548,0.517994292
VividGraph,Node≤10,1280×1280,0.488772046,0.529143859,0.447473638,0.603033893,0.155560255,0.295803476,0.762484241,0.461604778,0.515939313
VividGraph,Node≤20,640×640,0.288218829,0.220337514,0.16552201,0.446868317,0.281346307,-0.201681947,0.642356974,0.258256728,0.31818093
VividGraph,Node≤20,960×960,0.300576271,0.364316848,0.144869606,0.453097955,0.30822835,-0.098025677,0.826659372,0.264920744,0.336231798
VividGraph,Node≤20,1280×1280,0.319628503,0.40808706,0.157081201,0.463633974,0.306552773,-0.051742099,0.867916219,0.282418672,0.356838335
VividGraph,Node≤30,640×640,0.15858633,0.081814249,0.055608623,0.366646605,0.311037982,-0.384742724,0.548371222,0.128942875,0.188229785
VividGraph,Node≤30,960×960,0.227555847,0.338310597,0.05929832,0.393148657,0.333850337,-0.162464908,0.839086102,0.192079621,0.263032073
VividGraph,Node≤30,1280×1280,0.240854171,0.361133158,0.059690775,0.392890334,0.333199559,-0.13866618,0.860932496,0.205584383,0.276123959